"","group","Nspp","Supporting_edge_length","Nearest_neighbour_node_distance","Descendent_edge_length"
"1735","Chaetodipus penicillatus|Chaetodipus intermedius|Chaetodipus nelsoni|Chaetodipus lineatus|Chaetodipus goldmani|Chaetodipus artus",6,0.00608626463672422,0.0243450585468969,0.0679880293565779
"1736","Chaetodipus penicillatus",1,0.0121725292734484,0.0124694202313374,0
"1737","Chaetodipus intermedius|Chaetodipus nelsoni|Chaetodipus lineatus",3,0.000296890957888987,0.0124694202313374,0.0359238059045674
"1738","Chaetodipus intermedius",1,0.0118756383155595,0.0237512766311189,0
"1739","Chaetodipus nelsoni",1,0.0118756383155595,0.0237512766311189,0
"1740","Chaetodipus lineatus",1,0.0118756383155595,0.0237512766311189,0
"1741","Chaetodipus goldmani|Chaetodipus artus",2,0.010539629005059,0.0227121582785075,0.0138054295418379
"1742","Chaetodipus goldmani",1,0.00163290026838943,0.00326580053677885,0
"1743","Chaetodipus artus",1,0.00163290026838943,0.00326580053677885,0
"1744","Chaetodipus pernix",1,0.0182587939101727,0.0243450585468969,0
"1745","Chaetodipus californicus|Chaetodipus spinatus|Chaetodipus fallax",3,0.00282046409994537,0.00578937367883524,0.0577452913094079
"1746","Chaetodipus spinatus|Chaetodipus fallax",2,0.000296890957888987,0.0187041303470062,0.0365175878203453
"1747","Chaetodipus spinatus",1,0.0181103484312282,0.0362206968624564,0
"1748","Chaetodipus fallax",1,0.0181103484312282,0.0362206968624564,0
"1749","Chaetodipus californicus",1,0.0184072393891172,0.0187041303470062,0
"1750","Chaetodipus baileyi|Chaetodipus hispidus",2,0.0188525758259506,0.0233059401942854,0.0354784694677339
"1751","Chaetodipus baileyi",1,0.00831294682089162,0.0166258936417832,0
"1752","Chaetodipus hispidus",1,0.00831294682089162,0.0166258936417832,0
"1753","Microdipodops megacephalus|Microdipodops pallidus|Dipodomys deserti|Dipodomys compactus|Dipodomys spectabilis|Dipodomys nelsoni|Dipodomys ordii|Dipodomys elator|Dipodomys phillipsii|Dipodomys californicus|Dipodomys insularis|Dipodomys gravipes|Dipodomys ingens|Dipodomys panamintinus|Dipodomys microps|Dipodomys merriami|Dipodomys nitratoides|Dipodomys heermanni|Dipodomys stephensi|Dipodomys agilis|Dipodomys venustus|Dipodomys elephantinus",22,0.0204854760943401,0.0241966130679524,0.171306082701945
