"Status","Order","Family","Genus","Binomial","Log_mass","Combined_mass","Ancestral.mass","Mass.change"
"extant","Rodentia","Muridae","Reithrodontomys","Reithrodontomys darienensis",1.11,13,2.788125,1.678125
"extant","Carnivora","Herpestidae","Cynictis","Cynictis penicillata",2.92,836,4.60282608695652,1.68282608695652
"extant","Primates","Cheirogaleidae","Cheirogaleus","Cheirogaleus major",2.65,450,4.338,1.688
"extant","Rodentia","Muridae","Prionomys","Prionomys batesi",1.1,12.5,2.788125,1.688125
"extant","Rodentia","Muridae","Mus","Mus booduga",1.1,12.5,2.788125,1.688125
"extant","Rodentia","Heteromyidae","Microdipodops","Microdipodops pallidus",1.1,12.5,2.788125,1.688125
"extant","Primates","Callitrichidae","Callithrix","Callithrix argentata",2.64,440,4.338,1.698
"extant","Primates","Callitrichidae","Saguinus","Saguinus leucopus",2.64,440,4.338,1.698
"extant","Rodentia","Muridae","Reithrodontomys","Reithrodontomys gracilis",1.09,12.3,2.788125,1.698125
"extant","Carnivora","Mustelidae","Melogale","Melogale moschata",2.9,805.25,4.60282608695652,1.70282608695652
"extant","Carnivora","Herpestidae","Galerella","Galerella pulverulenta",2.9,797,4.60282608695652,1.70282608695652
"extant","Carnivora","Herpestidae","Galidia","Galidia elegans",2.9,800,4.60282608695652,1.70282608695652
"extant","Carnivora","Mustelidae","Mephitis","Mephitis macroura",2.9,801.3,4.60282608695652,1.70282608695652
"extant","Primates","Callitrichidae","Saguinus","Saguinus oedipus",2.63,430,4.338,1.708
"extant","Rodentia","Muridae","Dendromus","Dendromus lovati",1.08,12,2.788125,1.708125
"extant","Rodentia","Muridae","Pseudomys","Pseudomys chapmani",1.08,12,2.788125,1.708125
"extant","Rodentia","Muridae","Pseudomys","Pseudomys hermannsburgensis",1.08,12,2.788125,1.708125
"extant","Rodentia","Muridae","Pseudomys","Pseudomys johnsoni",1.08,12,2.788125,1.708125
"extant","Rodentia","Muridae","Pseudomys","Pseudomys laborifex",1.08,12,2.788125,1.708125
"extant","Diprotodontia","Psuedocheiridae","Pseudocheirus","Pseudocheirus herbertensis",3.05,1115,4.76243902439024,1.71243902439024
"extant","Diprotodontia","Pseudocheiridae","Pseudochirops","Pseudochirops corinnae",3.05,1123,4.76243902439024,1.71243902439024
"extant","Rodentia","Dipodidae","Sicista","Sicista subtilis",1.07,11.8,2.788125,1.718125
