"taxon","clade","node","preceding.node","mass.node","mass.preceding.node","mass.change","edge.length","mass.by.edge"
"Nyctophilus microtis","Nyctophilus microtis",2633,5754,7.1,7.03333333333333,-0.0666666666666664,7.5,0.00888888888888886
"Myotis capaccinii","Myotis capaccinii",2717,5745,7.4,7.33333333333333,-0.0666666666666673,7.5,0.00888888888888898
"Murina aenea","Murina aenea",2677,5848,7.5,7.55,0.0499999999999998,5.5,0.00909090909090906
"Murina huttoni","Murina huttoni",2679,5848,7.6,7.55,-0.0499999999999998,5.5,0.00909090909090906
"Kerivoula atrox|Kerivoula papuensis","Kerivoula",5853,5852,5.5,5.43094409649733,-0.0690559035026679,7.3,0.00945971280858464
"Phylloderma stenops","Phylloderma stenops",2418,5902,53.7,53.8506128176247,0.150612817624712,15.7,0.00959317309711539
"Nyctinomops aurispinosus","Nyctinomops aurispinosus",2518,5635,18,18.2,0.199999999999999,20.6,0.00970873786407763
"Nyctinomops macrotis","Nyctinomops macrotis",2521,5635,18.4,18.2,-0.199999999999999,20.6,0.00970873786407763
"Micronycteris brachyotis","Micronycteris brachyotis",2400,5884,10.5,10.2198145797326,-0.280185420267427,26.7,0.0104938359650722
"Crocidura grayi","Crocidura grayi",2791,6081,10.3,10.4333333333333,0.133333333333333,12.6,0.0105820105820105
"Sorex samniticus","Sorex samniticus",2850,6098,8.3,8.42982572978587,0.129825729785871,12.1,0.0107293991558571
"Sminthopsis longicaudata","Sminthopsis longicaudata",3141,6378,18,17.8355989195715,-0.164401080428505,15.2,0.0108158605545069
"Oryzorictes tetradactylus","Oryzorictes tetradactylus",2946,6191,36,36.25,0.25,22.5,0.0111111111111111
"Oryzorictes hova","Oryzorictes hova",2947,6191,36.5,36.25,-0.25,22.5,0.0111111111111111
"Histiotus macrotus|Histiotus velatus","Histiotus",5678,5677,11.1,10.9105340548575,-0.189465945142464,16.4,0.0115528015330771
"Ametrida centurio|Sphaeronycteris toxophyllum|Pygoderma bilabiatum|Centurio senex|Stenoderma rufum|Ardops nichollsi|Artibeus hartii|Artibeus phaeotis|Artibeus aztecus|Artibeus toltecus|Artibeus cinereus|Artibeus anderseni|Artibeus glaucus|Artibeus concolor|Artibeus fimbriatus|Artibeus amplus|Artibeus jamaicensis|Artibeus obscurus|Artibeus lituratus|Artibeus hirsutus|Artibeus planirostris|Ectophylla alba|Mesophylla macconnelli|Vampyressa melissa|Vampyressa pusilla|Vampyressa bidens|Chiroderma salvini|Chiroderma improvisum|Chiroderma villosum|Chiroderma doriae|Chiroderma trinitatum|Uroderma bilobatum|Uroderma magnirostrum|Vampyrodes caraccioli|Platyrrhinus helleri|Platyrrhinus brachycephalus|Platyrrhinus umbratus|Platyrrhinus dorsalis|Platyrrhinus vittatus|Platyrrhinus lineatus|Platyrrhinus aurarius|Platyrrhinus infuscus","Stenodermatinae",5942,5935,22.515416027309,22.4633942874314,-0.0520217398775209,4.5,0.0115603866394491
"Crocidura fuscomurina","Crocidura fuscomurina",2788,6071,5.8,5.65,-0.149999999999999,12.6,0.0119047619047619
"Crocidura dolichura","Crocidura dolichura",2780,6071,5.5,5.65,0.15,12.6,0.0119047619047619
"Diclidurus isabellus","Diclidurus isabellus",2262,5506,14,14.282892906815,0.28289290681502,22.6,0.0125173852573018
"Myotis macrodactylus","Myotis macrodactylus",2719,5746,7.2,7.3,0.0999999999999996,7.5,0.0133333333333333
"Myotis daubentoni","Myotis daubentoni",2718,5746,7.4,7.3,-0.100000000000001,7.5,0.0133333333333334
"Saguinus inustus|Saguinus bicolor|Saguinus midas|Saguinus geoffroyi|Saguinus oedipus|Saguinus leucopus|Saguinus imperator|Saguinus labiatus|Saguinus mystax|Saguinus fuscicollis|Saguinus tripartitus|Saguinus nigricollis","Saguinus",4731,4719,453.966009374063,454.059500181208,0.093490807144633,6.8,0.0137486481095049
"Tamias merriami|Tamias obscurus","Tamias",4404,4389,73.9,74.0272513548872,0.127251354887164,8.8,0.0144603812371778
"Myotis mystacinus","Myotis mystacinus",2737,5711,5,5.15,0.149999999999999,10.3,0.0145631067961165
"Myotis brandti","Myotis brandti",2736,5711,5.3,5.15,-0.15,10.3,0.0145631067961165
"Promops centralis|Promops nasutus","Promops",5640,5639,20.8,21.2854383936537,0.485438393653741,32.7,0.0148452108150991
"Microtus duodecimcostatus","Microtus duodecimcostatus",712,4011,23,23.1,0.0999999999999979,6.7,0.014925373134328
"Microtus multiplex","Microtus multiplex",711,4011,23.2,23.1,-0.100000000000001,6.7,0.0149253731343286
"Tonatia evotis","Tonatia evotis",2414,5897,19.8,19.6,-0.200000000000003,12.4,0.0161290322580647
"Pteronotus davyi|Pteronotus gymnonotus|Pteronotus personatus|Pteronotus quadridens|Pteronotus parnellii","Pteronotus",5870,5868,11.6373482628715,11.9414802140005,0.304131951129046,18.8,0.0161772314430343
"Furipterus horrens","Furipterus horrens",2377,5985,3.2,4.07755697232773,0.877556972327726,51.6,0.0170069180683668
"Taphozous perforatus","Taphozous perforatus",2249,5491,27.3,26.8629354654483,-0.437064534551681,25.6,0.017072833380925
"Plecotus austriacus","Plecotus austriacus",2643,5826,7.3,7.55,0.25,14.5,0.0172413793103448
"Plecotus auritus","Plecotus auritus",2644,5826,7.8,7.55,-0.25,14.5,0.0172413793103448
"Oligoryzomys arenalis","Oligoryzomys arenalis",442,3491,25.2,25.1,-0.0999999999999979,5.6,0.0178571428571425
"Oligoryzomys fulvescens","Oligoryzomys fulvescens",448,3491,25,25.1,0.100000000000001,5.6,0.0178571428571431
"Chaerephon nigeriae","Chaerephon nigeriae",2539,5654,19.8,19.4,-0.400000000000002,21.4,0.0186915887850468
"Sorex tenellus","Sorex tenellus",2867,6108,3.7,3.4,-0.3,15.3,0.0196078431372549
"Sorex preblei","Sorex preblei",2862,6108,3.1,3.4,0.3,15.3,0.0196078431372549
"Plecotus rafinesquii","Plecotus rafinesquii",2640,5824,9.1,8.93475409836065,-0.165245901639345,8.4,0.0196721311475411
"Crocidura silacea","Crocidura silacea",2816,6083,7,6.75,-0.25,12.6,0.0198412698412698
"Crocidura tarfayensis","Crocidura tarfayensis",2819,6083,6.5,6.75,0.25,12.6,0.0198412698412698
"Mus bufo","Mus bufo",200,3822,9.2,9.04,-0.159999999999998,8,0.0199999999999998
"Mormoops blainvillii|Mormoops megalophylla","Mormoops",5869,5868,12.3,11.9414802140005,-0.358519785999459,17.8,0.0201415610112055
"Natalus stramineus|Natalus tumidirostris|Natalus tumidifrons","Natalus",5986,5985,4.77539267015707,4.07755697232773,-0.697835697829342,34.2,0.0204045525681094
"Tadarida australis","Tadarida australis",2514,5630,31.8,31.3969793322735,-0.403020667726548,19.5,0.0206677265500794
"Saccolaimus peli|Saccolaimus flaviventris|Saccolaimus saccolaimus|Taphozous nudiventris|Taphozous theobaldi|Taphozous hilli|Taphozous georgianus|Taphozous kapalgensis|Taphozous australis|Taphozous longimanus|Taphozous melanopogon|Taphozous philippinensis|Taphozous mauritianus|Taphozous hildegardeae|Taphozous perforatus|Mosia nigrescens|Emballonura raffrayana|Coleura afra|Coleura seychellensis|Emballonura alecto|Emballonura monticola|Emballonura semicaudata|Emballonura beccarii|Rhynchonycteris naso|Cyttarops alecto|Diclidurus isabellus|Diclidurus scutatus|Diclidurus albus|Cormura brevirostris|Balantiopteryx io|Balantiopteryx plicata|Peropteryx kappleri|Peropteryx macrotis|Saccopteryx bilineata|Saccopteryx leptura|Saccopteryx canescens","Emballonuridae",5480,5479,19.812763414127,20.1703993465519,0.357635932424856,17.2,0.020792786768887
"Rhinonicteris aurantia|Triaenops persicus","Hipposiderinae",5580,5579,10.7,10.0771436292425,-0.622856370757507,29.9,0.0208313167477427
"Calomys musculinus","Calomys musculinus",389,3356,20.1,20.3,0.199999999999999,9.6,0.0208333333333333
"Peromyscus melanotis","Peromyscus melanotis",587,3628,39.6,39.8666666666667,0.266666666666666,12.2,0.0218579234972677
"Rhinolophus philippinensis","Rhinolophus philippinensis",2319,5552,10.7,10.775631052548,0.0756310525480242,3.4,0.0222444272200071
"Pseudomys delicatulus","Pseudomys delicatulus",135,3716,11,11.5,0.5,22.4,0.0223214285714286
"Pseudomys laborifex","Pseudomys laborifex",144,3716,12,11.5,-0.5,22.4,0.0223214285714286
